City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
qaanaaq,77.484,-69.3632,28.6,74,61,4.45,GL,4/25/2021 14:15
lavrentiya,65.5833,-171,21.07,88,100,3.91,RU,4/25/2021 14:12
koumac,-20.5667,164.2833,75.15,85,100,11.52,NC,4/25/2021 14:15
buraydah,26.326,43.975,98.6,13,75,10.36,SA,4/25/2021 14:15
mahebourg,-20.4081,57.7,78.8,78,75,13.8,MU,4/25/2021 14:15
ponta do sol,32.6667,-17.1,66,74,23,8.99,PT,4/25/2021 14:15
nikolskoye,59.7035,30.7861,39.2,87,90,15.66,RU,4/25/2021 14:15
georgetown,5.4112,100.3354,84.2,84,20,5.01,MY,4/25/2021 14:15
albany,42.6001,-73.9662,53.01,72,100,3.29,US,4/25/2021 14:15
esperance,-33.8667,121.9,68,42,5,10.36,AU,4/25/2021 14:15
port keats,-14.25,129.55,75.38,44,100,2.84,AU,4/25/2021 14:10
sai buri,6.7013,101.6168,80.49,79,70,4.38,TH,4/25/2021 14:15
mbandaka,0.0487,18.2603,86.52,51,99,2.24,CD,4/25/2021 14:15
norman wells,65.282,-126.8329,28.4,69,75,18.41,CA,4/25/2021 14:15
bluff,-46.6,168.3333,41,83,81,8.01,NZ,4/25/2021 14:10
faanui,-16.4833,-151.75,80.4,67,6,4.32,PF,4/25/2021 14:15
ushuaia,-54.8,-68.3,46.4,71,75,6.91,AR,4/25/2021 14:15
broome,42.2506,-75.833,50,93,90,4.61,US,4/25/2021 14:15
san vicente,-26.6167,-54.1333,62.78,95,87,3.33,AR,4/25/2021 14:15
bethel,41.3712,-73.414,48.99,95,100,5.28,US,4/25/2021 14:15
mar del plata,-38.0023,-57.5575,63,72,40,16.11,AR,4/25/2021 14:14
erenhot,43.6475,111.9767,55.83,50,100,18.1,CN,4/25/2021 14:15
antiguo morelos,22.5495,-99.0812,77,78,79,3,MX,4/25/2021 14:15
springdale,36.1867,-94.1288,57.99,100,1,5.75,US,4/25/2021 14:15
asau,46.4333,26.4,57.99,34,97,9.69,RO,4/25/2021 14:15
north bend,43.4065,-124.2243,46.4,93,90,5.75,US,4/25/2021 14:15
ribeira grande,38.5167,-28.7,64.4,72,40,11.5,PT,4/25/2021 14:15
clyde river,70.4692,-68.5914,17.6,93,40,17.27,CA,4/25/2021 14:15
north platte,41.1239,-100.7654,52,62,1,9.22,US,4/25/2021 14:15
baykit,61.67,96.37,32,94,93,4.38,RU,4/25/2021 14:11
fairbanks,64.8378,-147.7164,30,80,1,3.44,US,4/25/2021 14:13
okhotsk,59.3833,143.3,18.86,76,5,4.47,RU,4/25/2021 14:15
hithadhoo,-0.6,73.0833,83.57,66,51,5.41,MV,4/25/2021 14:15
hermanus,-34.4187,19.2345,67.59,68,100,4.54,ZA,4/25/2021 14:15
pimentel,-6.8367,-79.9342,66,82,98,4,PE,4/25/2021 14:15
